Epoch,Batch,Time,Time_sum,Loss,Loss_avg
0,1107/12672,0.464200,518.757792,3.758279,3.946539
0,1108/12672,0.465262,519.223054,3.696916,3.946314
0,1109/12672,0.465014,519.688068,3.629272,3.946029
0,1110/12672,0.463329,520.151397,3.598349,3.945716
0,1111/12672,0.464230,520.615627,4.032804,3.945794
0,1112/12672,0.466255,521.081883,3.846074,3.945705
0,1113/12672,0.465555,521.547437,4.024346,3.945775
0,1114/12672,0.466785,522.014222,4.035808,3.945856
0,1115/12672,0.464582,522.478804,3.944259,3.945854
0,1116/12672,0.464753,522.943557,3.874241,3.945790
0,1117/12672,0.466458,523.410016,3.745692,3.945611
0,1118/12672,0.465396,523.875412,3.804798,3.945486
0,1119/12672,0.464578,524.339990,4.189272,3.945703
0,1120/12672,0.463711,524.803701,3.585912,3.945382
0,1121/12672,0.464794,525.268495,3.590331,3.945066
0,1122/12672,0.464819,525.733314,3.920535,3.945044
0,1123/12672,0.463776,526.197090,3.734830,3.944857
0,1124/12672,0.466510,526.663599,4.210327,3.945093
0,1125/12672,0.465443,527.129042,3.882459,3.945037
0,1126/12672,0.463894,527.592937,3.874581,3.944975
0,1127/12672,0.464893,528.057830,3.988286,3.945013
0,1128/12672,0.465340,528.523169,3.888489,3.944963
0,1129/12672,0.467192,528.990361,4.037747,3.945045
0,1130/12672,0.465191,529.455552,3.719172,3.944845
0,1131/12672,0.465330,529.920882,4.215312,3.945084
0,1132/12672,0.464543,530.385426,3.740417,3.944904
0,1133/12672,0.466333,530.851758,3.857543,3.944827
0,1134/12672,0.464331,531.316089,3.759966,3.944664
0,1135/12672,0.465213,531.781302,3.734288,3.944479
0,1136/12672,0.465146,532.246449,3.790988,3.944344
0,1137/12672,0.464895,532.711344,3.914342,3.944317
0,1138/12672,0.464983,533.176327,4.071235,3.944429
0,1139/12672,0.466400,533.642728,3.912069,3.944400
0,1140/12672,0.465229,534.107956,3.769879,3.944247
0,1141/12672,0.464757,534.572713,3.815657,3.944135
0,1142/12672,0.464902,535.037615,4.480782,3.944604
0,1143/12672,0.465053,535.502669,3.610314,3.944312
0,1144/12672,0.463957,535.966626,3.914701,3.944286
0,1145/12672,0.465016,536.431641,3.814063,3.944173
0,1146/12672,0.465291,536.896932,4.134539,3.944339
0,1147/12672,0.464537,537.361469,3.710056,3.944134
0,1148/12672,0.464257,537.825726,3.831899,3.944037
0,1149/12672,0.464262,538.289988,3.808076,3.943919
0,1150/12672,0.464615,538.754603,3.914689,3.943893
0,1151/12672,0.464982,539.219585,3.736209,3.943713
0,1152/12672,0.465019,539.684604,4.105954,3.943854
0,1153/12672,0.465677,540.150281,3.771409,3.943704
0,1154/12672,0.464688,540.614969,3.976804,3.943733
0,1155/12672,0.464982,541.079951,3.863372,3.943663
0,1156/12672,0.465735,541.545686,3.740799,3.943488
0,1157/12672,0.466096,542.011782,3.950118,3.943494
0,1158/12672,0.465102,542.476884,4.035675,3.943573
0,1159/12672,0.464687,542.941571,3.755917,3.943411
0,1160/12672,0.464886,543.406456,3.928396,3.943399
0,1161/12672,0.464792,543.871248,4.075965,3.943513
0,1162/12672,0.464319,544.335567,3.976175,3.943541
0,1163/12672,0.465148,544.800715,3.940678,3.943538
0,1164/12672,0.465703,545.266418,3.797851,3.943413
0,1165/12672,0.465122,545.731540,4.209047,3.943641
0,1166/12672,0.465042,546.196583,3.997483,3.943687
0,1167/12672,0.464722,546.661304,3.955499,3.943697
0,1168/12672,0.465091,547.126395,3.688056,3.943479
0,1169/12672,0.464940,547.591336,3.872041,3.943418
0,1170/12672,0.467439,548.058775,3.660425,3.943176
0,1171/12672,0.465650,548.524425,3.780715,3.943037
0,1172/12672,0.466637,548.991063,3.818992,3.942931
0,1173/12672,0.465152,549.456215,4.257928,3.943200
0,1174/12672,0.465668,549.921883,3.836677,3.943109
0,1175/12672,0.464857,550.386740,3.885157,3.943060
0,1176/12672,0.466042,550.852783,3.849425,3.942980
0,1177/12672,0.465624,551.318407,3.749597,3.942816
0,1178/12672,0.465465,551.783872,3.879769,3.942763
0,1179/12672,0.465250,552.249121,4.126558,3.942918
0,1180/12672,0.466732,552.715853,3.869962,3.942857
0,1181/12672,0.464959,553.180813,3.713119,3.942662
0,1182/12672,0.466194,553.647007,3.893095,3.942620
0,1183/12672,0.464878,554.111884,3.822817,3.942519
0,1184/12672,0.464721,554.576606,3.972214,3.942544
0,1185/12672,0.464841,555.041447,3.797293,3.942422
0,1186/12672,0.464543,555.505990,3.889523,3.942377
0,1187/12672,0.464580,555.970570,4.068732,3.942484
0,1188/12672,0.462841,556.433411,3.760717,3.942331
0,1189/12672,0.465348,556.898759,3.600637,3.942044
0,1190/12672,0.464226,557.362986,3.929595,3.942033
0,1191/12672,0.466357,557.829343,3.593766,3.941741
0,1192/12672,0.465572,558.294914,3.768505,3.941596
0,1193/12672,0.466169,558.761083,3.658086,3.941358
0,1194/12672,0.465503,559.226586,4.080994,3.941475
0,1195/12672,0.464814,559.691400,4.085031,3.941595
0,1196/12672,0.464656,560.156056,4.241977,3.941846
0,1197/12672,0.466520,560.622576,4.019277,3.941911
0,1198/12672,0.463993,561.086568,4.095545,3.942039
0,1199/12672,0.464495,561.551064,3.893131,3.941998
0,1200/12672,0.464488,562.015552,3.864636,3.941934
0,1201/12672,0.466092,562.481644,3.684394,3.941719
0,1202/12672,0.465331,562.946975,3.814847,3.941614
0,1203/12672,0.464660,563.411635,3.826830,3.941519
0,1204/12672,0.464515,563.876150,3.867922,3.941458
0,1205/12672,0.465817,564.341968,3.906205,3.941428
0,1206/12672,0.465296,564.807263,3.658116,3.941194
0,1207/12672,0.465746,565.273010,4.047346,3.941281
0,1208/12672,0.464916,565.737926,3.795486,3.941161
0,1209/12672,0.463208,566.201134,3.873842,3.941105
0,1210/12672,0.465948,566.667082,3.529201,3.940765
0,1211/12672,0.465623,567.132705,3.727298,3.940589
0,1212/12672,0.463390,567.596095,4.056613,3.940685
0,1213/12672,0.465676,568.061771,3.987456,3.940723
0,1214/12672,0.464469,568.526240,4.095379,3.940850
0,1215/12672,0.464998,568.991238,3.953403,3.940861
0,1216/12672,0.465433,569.456671,3.920836,3.940844
0,1217/12672,0.466289,569.922960,4.072458,3.940952
0,1218/12672,0.464866,570.387826,3.967187,3.940974
0,1219/12672,0.466412,570.854239,3.872971,3.940918
0,1220/12672,0.465612,571.319850,3.794978,3.940799
0,1221/12672,0.466559,571.786410,4.002878,3.940849
0,1222/12672,0.464621,572.251030,3.828380,3.940757
0,1223/12672,0.466342,572.717373,3.808452,3.940649
0,1224/12672,0.464379,573.181751,3.981519,3.940683
0,1225/12672,0.466170,573.647922,3.919591,3.940666
0,1226/12672,0.465376,574.113297,3.821941,3.940569
0,1227/12672,0.466538,574.579836,3.647861,3.940330
0,1228/12672,0.463489,575.043325,3.795252,3.940212
0,1229/12672,0.465482,575.508807,3.874631,3.940159
0,1230/12672,0.465214,575.974022,4.054897,3.940252
0,1231/12672,0.464067,576.438089,3.729633,3.940081
0,1232/12672,0.465113,576.903202,3.959065,3.940097
0,1233/12672,0.464479,577.367681,4.054475,3.940189
0,1234/12672,0.465473,577.833154,3.753124,3.940038
0,1235/12672,0.464020,578.297175,4.043396,3.940122
0,1236/12672,0.464297,578.761472,3.706918,3.939933
0,1237/12672,0.464642,579.226113,3.538735,3.939609
0,1238/12672,0.463729,579.689842,3.827603,3.939519
0,1239/12672,0.466289,580.156131,4.200580,3.939729
0,1240/12672,0.465186,580.621316,3.780591,3.939601
0,1241/12672,0.465194,581.086510,4.250529,3.939851
0,1242/12672,0.465156,581.551666,3.693196,3.939653
0,1243/12672,0.464123,582.015789,3.866518,3.939594
0,1244/12672,0.464777,582.480566,3.756638,3.939447
0,1245/12672,0.465709,582.946276,3.668358,3.939229
0,1246/12672,0.465053,583.411329,4.138642,3.939389
0,1247/12672,0.465484,583.876812,3.865288,3.939330
0,1248/12672,0.464128,584.340940,3.887302,3.939288
0,1249/12672,0.466077,584.807017,3.734514,3.939125
0,1250/12672,0.464554,585.271571,3.913937,3.939104
0,1251/12672,0.465749,585.737320,3.872317,3.939051
0,1252/12672,0.465103,586.202423,3.833855,3.938967
0,1253/12672,0.466269,586.668692,3.882948,3.938922
0,1254/12672,0.464709,587.133401,3.955828,3.938936
0,1255/12672,0.465905,587.599306,3.984830,3.938972
0,1256/12672,0.464871,588.064177,3.806664,3.938867
0,1257/12672,0.465035,588.529212,3.967405,3.938890
0,1258/12672,0.463740,588.992951,3.857747,3.938825
0,1259/12672,0.464662,589.457613,3.630629,3.938581
0,1260/12672,0.466145,589.923758,4.054893,3.938673
0,1261/12672,0.464439,590.388197,3.765566,3.938536
0,1262/12672,0.463097,590.851294,3.923716,3.938524
0,1263/12672,0.465742,591.317036,3.718433,3.938350
0,1264/12672,0.464492,591.781528,3.620143,3.938098
0,1265/12672,0.464967,592.246495,4.072473,3.938205
0,1266/12672,0.466110,592.712605,3.598809,3.937937
0,1267/12672,0.466552,593.179157,3.915967,3.937919
0,1268/12672,0.463982,593.643139,3.852400,3.937852
0,1269/12672,0.464705,594.107844,3.932956,3.937848
0,1270/12672,0.464490,594.572335,3.896420,3.937816
